dstport,protocol,tag
1,pim,SV_3
1,sctp,SV_2
4,sprite-rpc,SV_3
5,dcn-meas,SV_5
1,qnx,SV_1
2,sprite-rpc,SV_2
4,idrp,SV_3
5,trunk-1,SV_4
5,stp,SV_3
4,trunk-1,SV_5
2,sscopmce,SV_1
4,smp,SV_4
3,rvd,SV_4
3,hmp,SV_1
1,iptm,SV_4
5,wb-expak,SV_3
3,min-ipv4,SV_2
2,ipv6-nonxt,SV_4
4,mtp,SV_5
4,wesp,SV_2
1,st,SV_5
3,irtp,SV_3
2,iplt,SV_4
2,sscopmce,SV_3
5,xns-idp,SV_2
5,igp,SV_4
3,mfe-nsp,SV_2
3,a/n,SV_4
1,vmtp,SV_3
3,ipv6-opts,SV_1
5,ipcomp,SV_5
4,anydfs,SV_3
2,a/n,SV_5
4,wsn,SV_2
5,pup,SV_4
5,etherip,SV_3
4,ipv6-route,SV_5
5,dcn-meas,SV_4
2,xtp,SV_5
4,br-sat-mon,SV_4
3,l2tp,SV_4
3,irtp,SV_2
5,pvp,SV_2
5,sat-mon,SV_4
5,etherip,SV_1
4,prm,SV_2
1,esp,SV_1
1,fire,SV_5
4,igmp,SV_2
1,secure-vmtp,SV_1
1,rdp,SV_1
1,sctp,SV_3
1,hmp,SV_3
5,pnni,SV_2
1,ax.25,SV_4
3,idpr,SV_4
4,irtp,SV_5
5,sprite-rpc,SV_2
4,ipcomp,SV_4
5,vrrp,SV_2
5,mpls-in-ip,SV_2
2,swipe (deprecated),SV_3
1,shim6,SV_4
2,nvp-ii,SV_1
3,nsh,SV_4
3,bna,SV_1
5,sat-mon,SV_2
1,sun-nd,SV_3
1,hmp,SV_4
3,rdp,SV_2
2,trunk-1,SV_4
2,igp,SV_4
4,aris,SV_5
4,tcf,SV_3
2,ipv6-icmp,SV_4
5,chaos,SV_3
3,pim,SV_3
1,l2tp,SV_4
5,iplt,SV_2
1,hmp,SV_4
1,esp,SV_5
5,skip,SV_4
2,encap,SV_4
1,ggp,SV_4
1,egp,SV_4
2,bbn-rcc-mon,SV_5
1,crtp,SV_5
3,skip,SV_4
1,wb-expak,SV_4
5,mtp,SV_4
2,hmp,SV_1
4,trunk-1,SV_2
2,il,SV_4
3,iso-tp4,SV_2
5,prm,SV_5
1,larp,SV_1
2,mfe-nsp,SV_1
3,pvp,SV_4
1,ipv4,SV_3
4,wesp,SV_1
4,dsr,SV_4
1,rohc,SV_2
1,sctp,SV_5
3,mfe-nsp,SV_2
1,etherip,SV_5
4,irtp,SV_2
2,qnx,SV_4
4,pgm,SV_3
3,tlsp,SV_1
5,anyhostprotocol,SV_2
1,esp,SV_1
3,manet,SV_4
2,emcon,SV_1
4,rvd,SV_2
4,vines,SV_3
1,mux,SV_1
2,ipcomp,SV_5
1,pup,SV_3
4,smp,SV_4
5,rsvp,SV_2
4,egp,SV_2
5,aggfrag,SV_2
2,mobility header,SV_4
4,bbn-rcc-mon,SV_5
5,iatp,SV_5
2,leaf-1,SV_4
3,merit-inp,SV_3
4,cpnx,SV_2
1,ipv6-opts,SV_3
4,idpr,SV_3
1,stp,SV_3
2,dgp,SV_3
4,anydfs,SV_5
5,dccp,SV_2
2,trunk-1,SV_3
1,cphb,SV_4
1,pim,SV_5
4,sat-expak,SV_4
2,cphb,SV_3
5,argus (deprecated),SV_2
5,visa,SV_3
5,snp,SV_4
4,anydfs,SV_2
2,pim,SV_2
1,ipv6-route,SV_2
2,i-nlsp,SV_1
1,wb-mon,SV_1
2,ipv6-frag,SV_2
1,sun-nd,SV_5
2,br-sat-mon,SV_3
4,sm (deprecated),SV_5
3,dccp,SV_4
3,isis over ipv4,SV_4
5,gmtp,SV_1
4,ipip,SV_3
4,fc,SV_5
1,iso-tp4,SV_2
2,qnx,SV_4
2,iso-tp4,SV_3
4,isis over ipv4,SV_4
3,etherip,SV_5
4,uti,SV_4
5,pgm,SV_4
2,ippc,SV_2
4,shim6,SV_1
2,dgp,SV_2
4,bna,SV_3
3,irtp,SV_5
5,sat-mon,SV_4
5,vmtp,SV_3
3,ipv6-frag,SV_3
2,emcon,SV_5
5,bbn-rcc-mon,SV_4
3,trunk-1,SV_5
5,sun-nd,SV_2
1,esp,SV_1
1,ax.25,SV_1
1,fc,SV_2
2,ddx,SV_1
4,ifmp,SV_5
3,br-sat-mon,SV_5
2,icmp,SV_1
4,xtp,SV_2
3,snp,SV_4
4,fire,SV_3
1,il,SV_5
4,anylocalnetwork,SV_2
4,tcp,SV_4
2,trunk-2,SV_4
4,manet,SV_5
4,chaos,SV_3
1,uti,SV_1
5,ipv4,SV_4
2,min-ipv4,SV_1
2,scps,SV_3
4,st,SV_1
3,trunk-1,SV_1
1,ddx,SV_4
1,tlsp,SV_5
2,nsh,SV_4
4,gre,SV_1
4,cpnx,SV_2
3,ggp,SV_2
3,leaf-1,SV_3
5,ipv4,SV_4
2,scc-sp,SV_4
1,reserved,SV_2
2,prm,SV_1
1,narp,SV_2
3,cphb,SV_3
1,snp,SV_5
3,st,SV_4
4,ptp,SV_2
4,ipv6-nonxt,SV_2
5,st,SV_3
1,ddx,SV_1
1,igmp,SV_2
4,mfe-nsp,SV_2
3,mpls-in-ip,SV_3
5,wb-expak,SV_2
2,merit-inp,SV_5
4,ipv6-frag,SV_4
5,ipip,SV_3
2,hmp,SV_5
2,merit-inp,SV_2
2,trunk-2,SV_4
2,br-sat-mon,SV_4
1,mpls-in-ip,SV_1
5,ipcomp,SV_5
2,micp (deprecated),SV_1
1,a/n,SV_4
4,iso-ip,SV_3
3,sat-expak,SV_4
2,vmtp,SV_2
2,larp,SV_2
5,encap,SV_4
4,irtp,SV_4
2,gre,SV_2
1,irtp,SV_3
1,ifmp,SV_5
4,ipip,SV_4
5,dgp,SV_5
2,ipv6-icmp,SV_3
2,xnet,SV_2
4,idpr-cmtp,SV_3
3,st,SV_5
1,wsn,SV_1
1,leaf-1,SV_1
1,swipe (deprecated),SV_5
1,ddp,SV_2
4,ggp,SV_1
3,idpr,SV_4
5,rsvp-e2e-ignore,SV_3
1,ospfigp,SV_3
3,mobility header,SV_5
4,hmp,SV_3
2,hip,SV_5
5,tlsp,SV_3
1,kryptolan,SV_2
2,nsfnet-igp,SV_2
5,iso-ip,SV_3
3,fire,SV_4
5,xtp,SV_1
4,leaf-1,SV_2
2,3pc,SV_3
2,sat-expak,SV_4
2,igp,SV_1
1,sctp,SV_1
1,micp (deprecated),SV_2
5,mtp,SV_2
4,3pc,SV_3
4,scc-sp,SV_3
5,a/n,SV_4
4,rvd,SV_2
1,sat-mon,SV_4
4,ipx-in-ip,SV_2
3,aris,SV_4
1,swipe (deprecated),SV_2
4,tcp,SV_5
4,eigrp,SV_5
2,iso-tp4,SV_3
1,anyprivencscheme,SV_2
5,reserved,SV_1
4,ggp,SV_3
4,trunk-2,SV_2
4,udp,SV_3
4,l2tp,SV_4
2,sprite-rpc,SV_5
4,larp,SV_1
1,compaq-peer,SV_5
2,xns-idp,SV_1
4,ethernet,SV_5
4,qnx,SV_1
3,iptm,SV_3
4,anyhostprotocol,SV_3
1,xnet,SV_4
5,sctp,SV_2
2,ipv6-route,SV_3
5,narp,SV_2
3,shim6,SV_5
2,tp++,SV_4
4,pnni,SV_5
4,wsn,SV_3
1,fc,SV_2
4,rsvp,SV_2
4,dcn-meas,SV_4
4,pgm,SV_4
5,cbt,SV_1
3,ippc,SV_5
5,rdp,SV_1
3,mpls-in-ip,SV_2
4,ipcv,SV_1
5,scps,SV_5
2,any0hopprotocol,SV_3
5,ggp,SV_4
4,bbn-rcc-mon,SV_3
4,crudp,SV_2
3,sprite-rpc,SV_5
3,stp,SV_4
5,ipcv,SV_2
1,bbn-rcc-mon,SV_2
3,mobility header,SV_1
5,uti,SV_3
1,irtp,SV_4
2,kryptolan,SV_3
2,rsvp-e2e-ignore,SV_1
5,prm,SV_5
4,cphb,SV_2
3,a/n,SV_4
2,smp,SV_4
2,udp,SV_5
5,mpls-in-ip,SV_2
5,bna,SV_1
2,manet,SV_2
5,xns-idp,SV_1
4,vmtp,SV_1
5,any0hopprotocol,SV_5
2,kryptolan,SV_5
2,cbt,SV_2
3,bna,SV_1
1,tp++,SV_3
5,visa,SV_3
4,i-nlsp,SV_1
3,rsvp,SV_3
1,stp,SV_5
1,ipv6-route,SV_2
1,smp,SV_1
1,secure-vmtp,SV_5
5,iso-tp4,SV_1
2,dcn-meas,SV_5
3,sscopmce,SV_1
3,egp,SV_4
5,tcf,SV_3
4,xtp,SV_2
4,reserved,SV_5
5,ipv6-icmp,SV_1
5,bna,SV_1
3,iatp,SV_5
4,skip,SV_4
1,larp,SV_4
4,cphb,SV_4
5,irtp,SV_1
2,i-nlsp,SV_1
3,ipv6-nonxt,SV_5
3,chaos,SV_3
5,stp,SV_3
5,wsn,SV_4
1,esp,SV_4
5,crtp,SV_4
4,vrrp,SV_3
5,sm (deprecated),SV_3
5,idpr,SV_2
4,rdp,SV_2
1,wsn,SV_3
2,ipv6-opts,SV_5
4,ipv6-nonxt,SV_1
4,scc-sp,SV_5
4,leaf-1,SV_5
5,mtp,SV_1
4,vines,SV_5
3,mobility header,SV_3
3,sat-expak,SV_1
1,i-nlsp,SV_2
4,larp,SV_1
3,ipcv,SV_2
1,isis over ipv4,SV_1
2,tlsp,SV_4
5,iplt,SV_3
5,narp,SV_4
1,irtp,SV_3
3,encap,SV_4
5,chaos,SV_5
4,bna,SV_1
5,rsvp,SV_5
2,any0hopprotocol,SV_2
1,mobility header,SV_4
2,netblt,SV_4
3,prm,SV_1
2,vmtp,SV_4
4,udplite,SV_5
3,sat-expak,SV_5
5,ifmp,SV_1
4,ippc,SV_1
3,secure-vmtp,SV_2
2,iatp,SV_1
1,scc-sp,SV_2
3,ipv6-opts,SV_2
3,pup,SV_2
1,cpnx,SV_5
2,mtp,SV_1
1,3pc,SV_3
3,narp,SV_3
5,snp,SV_4
3,scc-sp,SV_4
4,kryptolan,SV_3
3,swipe (deprecated),SV_2
2,ipip,SV_2
2,mfe-nsp,SV_1
4,larp,SV_5
3,iplt,SV_1
1,mobility header,SV_4
3,anyhostprotocol,SV_3
2,merit-inp,SV_4
2,il,SV_5
3,pim,SV_1
1,rsvp-e2e-ignore,SV_5
1,sm (deprecated),SV_2
4,iso-ip,SV_5
3,mtp,SV_2
3,egp,SV_1
1,irtp,SV_2
1,idrp,SV_3
5,skip,SV_3
1,pipe,SV_2
2,crudp,SV_5
5,idpr,SV_2
5,ipx-in-ip,SV_5
5,visa,SV_5
1,cbt,SV_3
2,iptm,SV_3
3,min-ipv4,SV_3
4,vmtp,SV_5
2,st,SV_3
2,igp,SV_5
5,a/n,SV_3
5,ddp,SV_4
2,a/n,SV_1
2,vrrp,SV_5
5,pgm,SV_3
2,hopopt,SV_5
1,merit-inp,SV_1
1,sprite-rpc,SV_4
1,l2tp,SV_2
3,ddx,SV_5
5,merit-inp,SV_3
4,sscopmce,SV_5
2,micp (deprecated),SV_5
3,rsvp,SV_2
1,rvd,SV_4
5,uti,SV_5
5,scc-sp,SV_4
3,esp,SV_4
5,sps,SV_2
4,cftp,SV_5
5,bbn-rcc-mon,SV_2
3,iatp,SV_2
2,udplite,SV_3
1,iptm,SV_5
4,hip,SV_2
1,compaq-peer,SV_1
1,emcon,SV_5
5,xns-idp,SV_3
3,cbt,SV_5
1,chaos,SV_1
2,anydfs,SV_1
2,dsr,SV_1
5,reserved,SV_4
2,gmtp,SV_5
3,nsfnet-igp,SV_3
3,swipe (deprecated),SV_3
3,igp,SV_5
1,udplite,SV_4
2,iplt,SV_3
1,sat-expak,SV_3
3,dccp,SV_3
4,iatp,SV_3
3,shim6,SV_5
4,vines,SV_4
1,argus (deprecated),SV_2
3,sctp,SV_1
4,vines,SV_3
4,ipv6-icmp,SV_3
3,xnet,SV_2
4,swipe (deprecated),SV_4
1,udp,SV_2
5,mpls-in-ip,SV_4
5,ipv6-nonxt,SV_2
2,igmp,SV_1
2,kryptolan,SV_1
5,il,SV_2
2,pnni,SV_1
5,ddx,SV_4
2,stp,SV_1
2,wsn,SV_3
3,pnni,SV_5
3,sm (deprecated),SV_4
3,iptm,SV_4
5,mfe-nsp,SV_4
5,rsvp,SV_5
1,udp,SV_3
1,iatp,SV_2
2,aris,SV_1
1,scps,SV_1
3,uti,SV_2
4,nsfnet-igp,SV_2
4,scps,SV_5
2,iso-tp4,SV_5
5,any0hopprotocol,SV_1
3,bbn-rcc-mon,SV_3
1,irtp,SV_5
4,iplt,SV_2
1,esp,SV_3
5,eigrp,SV_3
4,narp,SV_5
2,bna,SV_3
5,ddp,SV_5
1,sdrp,SV_2
1,pim,SV_2
4,wb-mon,SV_5
3,compaq-peer,SV_1
1,l2tp,SV_2
1,nvp-ii,SV_3
4,prm,SV_3
2,trunk-1,SV_5
5,pnni,SV_3
5,any0hopprotocol,SV_2
2,stp,SV_5
1,secure-vmtp,SV_2
5,chaos,SV_4
3,mtp,SV_4
3,kryptolan,SV_1
4,cphb,SV_4
5,anyhostprotocol,SV_1
1,tcp,SV_3
1,udp,SV_5
1,ggp,SV_5
1,icmp,SV_4
2,hip,SV_5
3,manet,SV_3
3,igmp,SV_4
5,udplite,SV_5
3,i-nlsp,SV_3
4,anydfs,SV_4
5,st,SV_4
4,aggfrag,SV_4
4,vmtp,SV_2
4,qnx,SV_2
3,vmtp,SV_5
5,mfe-nsp,SV_4
2,cbt,SV_4
5,ipv6-icmp,SV_2
5,scps,SV_1
4,mux,SV_5
5,pvp,SV_5
1,prm,SV_1
3,nvp-ii,SV_2
1,trunk-1,SV_5
3,micp (deprecated),SV_5
5,chaos,SV_4
3,udp,SV_5
5,gmtp,SV_5
3,3pc,SV_4
1,larp,SV_5
4,fc,SV_4
4,trunk-1,SV_2
4,kryptolan,SV_3
4,ipv6,SV_4
5,xtp,SV_1
4,ipx-in-ip,SV_5
4,shim6,SV_4
3,sps,SV_3
5,sat-mon,SV_2
5,min-ipv4,SV_1
3,tp++,SV_1
5,mfe-nsp,SV_1
2,rohc,SV_1
4,il,SV_1
5,bna,SV_4
1,wb-expak,SV_4
1,narp,SV_2
3,hopopt,SV_4
5,prm,SV_2
3,emcon,SV_5
1,cpnx,SV_1
5,vrrp,SV_5
5,pipe,SV_5
1,mfe-nsp,SV_5
2,etherip,SV_1
2,wb-expak,SV_4
4,esp,SV_3
5,scps,SV_5
4,ipv6-opts,SV_4
2,kryptolan,SV_5
5,eigrp,SV_2
1,any0hopprotocol,SV_4
2,wb-expak,SV_1
5,any0hopprotocol,SV_1
2,eigrp,SV_2
4,tcp,SV_1
4,idpr,SV_2
3,ggp,SV_4
2,reserved,SV_5
4,isis over ipv4,SV_5
5,uti,SV_2
1,br-sat-mon,SV_3
3,leaf-1,SV_2
2,wesp,SV_3
4,trunk-1,SV_3
4,sat-expak,SV_4
1,cftp,SV_5
1,ipv6-frag,SV_2
2,ipv6-route,SV_3
3,tcf,SV_4
3,mobility header,SV_3
2,min-ipv4,SV_2
2,tp++,SV_1
1,pgm,SV_5
5,isis over ipv4,SV_5
1,udplite,SV_4
2,srp,SV_3
5,ospfigp,SV_3
4,argus (deprecated),SV_1
4,iso-ip,SV_5
3,argus (deprecated),SV_3
4,iplt,SV_2
2,scc-sp,SV_1
3,xtp,SV_3
5,gre,SV_5
3,cbt,SV_4
2,emcon,SV_5
3,sprite-rpc,SV_5
1,l2tp,SV_2
2,rvd,SV_3
1,iatp,SV_3
1,dccp,SV_4
3,ipv6-nonxt,SV_4
4,uti,SV_3
2,reserved,SV_4
5,merit-inp,SV_3
4,vmtp,SV_3
1,nsfnet-igp,SV_2
1,idpr,SV_1
1,rsvp-e2e-ignore,SV_1
5,pim,SV_2
5,cpnx,SV_1
1,ipv6,SV_3
5,ah,SV_5
3,ippc,SV_3
3,ax.25,SV_4
2,skip,SV_1
2,prm,SV_1
3,smp,SV_5
2,bna,SV_1
5,egp,SV_2
2,emcon,SV_2
5,argus (deprecated),SV_1
1,wb-mon,SV_5
4,br-sat-mon,SV_3
1,l2tp,SV_5
3,sm (deprecated),SV_5
5,ipv6-nonxt,SV_3
4,egp,SV_3
4,etherip,SV_3
5,aggfrag,SV_4
3,narp,SV_2
2,xnet,SV_3
5,ipv6-nonxt,SV_5
2,bna,SV_5
3,kryptolan,SV_2
4,fc,SV_3
4,ippc,SV_1
2,gmtp,SV_2
1,ptp,SV_2
2,pgm,SV_2
2,ipcv,SV_1
5,sctp,SV_1
5,larp,SV_1
3,sdrp,SV_1
5,prm,SV_4
3,hmp,SV_1
5,min-ipv4,SV_5
4,esp,SV_2
4,min-ipv4,SV_5
5,ipv6-frag,SV_1
1,irtp,SV_2
4,icmp,SV_4
1,hip,SV_1
1,kryptolan,SV_1
4,nsfnet-igp,SV_3
1,rohc,SV_5
1,manet,SV_1
4,ipv6-icmp,SV_3
1,vrrp,SV_4
1,any0hopprotocol,SV_2
2,sat-expak,SV_1
2,tcf,SV_1
5,mfe-nsp,SV_5
3,rdp,SV_1
3,leaf-1,SV_5
4,ipip,SV_2
4,sat-expak,SV_4
4,ipv6-nonxt,SV_2
2,rsvp,SV_1
1,aggfrag,SV_2
3,ipv6-opts,SV_1
1,a/n,SV_5
1,3pc,SV_2
4,cpnx,SV_5
2,ipcomp,SV_4
2,min-ipv4,SV_5
4,rohc,SV_4
1,sun-nd,SV_2
2,rsvp,SV_4
4,i-nlsp,SV_3
1,dgp,SV_1
4,nsfnet-igp,SV_2
4,argus (deprecated),SV_5
2,i-nlsp,SV_3
2,pvp,SV_3
2,fc,SV_2
2,cphb,SV_2
4,sat-mon,SV_1
5,aggfrag,SV_3
4,iplt,SV_4
4,sprite-rpc,SV_2
4,rdp,SV_3
4,idpr,SV_1
1,anydfs,SV_2
2,l2tp,SV_3
5,pup,SV_3
5,sm (deprecated),SV_4
1,skip,SV_3
2,ipv6-route,SV_2
4,mobility header,SV_3
2,anyprivencscheme,SV_2
3,bna,SV_1
1,smp,SV_3
3,esp,SV_2
2,isis over ipv4,SV_1
5,br-sat-mon,SV_5
3,rsvp-e2e-ignore,SV_2
5,manet,SV_3
1,pipe,SV_5
4,crtp,SV_4
5,bna,SV_1
1,argus (deprecated),SV_1
2,bna,SV_4
1,dcn-meas,SV_1
5,aris,SV_1
4,sm (deprecated),SV_2
5,reserved,SV_1
2,sps,SV_4
4,i-nlsp,SV_4
3,ipv6-opts,SV_4
5,iso-ip,SV_1
4,chaos,SV_5
2,hopopt,SV_4
3,idpr,SV_4
5,leaf-1,SV_3
3,sprite-rpc,SV_5
1,ggp,SV_3
1,wesp,SV_3
2,isis over ipv4,SV_1
3,pvp,SV_2
3,aris,SV_2
3,ipv4,SV_2
2,nsfnet-igp,SV_3
5,shim6,SV_5
4,ifmp,SV_5
5,gmtp,SV_2
5,pnni,SV_1
5,trunk-2,SV_1
5,shim6,SV_1
4,irtp,SV_2
2,encap,SV_3
4,netblt,SV_5
3,iplt,SV_1
5,sat-mon,SV_2
1,pvp,SV_5
3,a/n,SV_4
1,ospfigp,SV_4
3,idpr-cmtp,SV_3
3,i-nlsp,SV_5
4,tcf,SV_4
4,rsvp,SV_4
5,wb-mon,SV_2
4,sprite-rpc,SV_1
3,sun-nd,SV_1
5,scps,SV_2
2,wb-expak,SV_5
1,srp,SV_5
1,shim6,SV_2
2,fire,SV_1
5,vmtp,SV_2
3,vines,SV_1
5,merit-inp,SV_4
1,icmp,SV_1
3,idpr-cmtp,SV_5
1,trunk-1,SV_4
3,dsr,SV_5
2,rvd,SV_1
3,wesp,SV_1
5,icmp,SV_1
1,mpls-in-ip,SV_2
5,nsh,SV_5
4,anydfs,SV_2
2,stp,SV_2
3,wb-mon,SV_5
5,tp++,SV_2
1,sat-expak,SV_1
5,ethernet,SV_1
5,mobility header,SV_5
1,stp,SV_3
3,iso-tp4,SV_5
2,rdp,SV_3
1,l2tp,SV_1
2,sprite-rpc,SV_3
2,ggp,SV_1
2,ospfigp,SV_1
1,vrrp,SV_2
2,dccp,SV_1
5,ipx-in-ip,SV_5
1,pipe,SV_2
4,stp,SV_3
5,cbt,SV_2
4,tlsp,SV_2
4,ddp,SV_4
2,ggp,SV_3
5,icmp,SV_5
5,uti,SV_2
2,i-nlsp,SV_1
4,ipcomp,SV_2
4,sprite-rpc,SV_3
1,secure-vmtp,SV_3
2,nsfnet-igp,SV_1
3,mux,SV_4
3,compaq-peer,SV_3
5,ethernet,SV_4
4,vrrp,SV_1
3,ipcv,SV_5
3,mfe-nsp,SV_5
2,anydfs,SV_1
4,ifmp,SV_2
5,br-sat-mon,SV_5
2,ggp,SV_2
5,mux,SV_4
3,ipv6-icmp,SV_3
5,ipv6-nonxt,SV_4
3,wsn,SV_5
2,sprite-rpc,SV_2
3,argus (deprecated),SV_2
4,hip,SV_5
4,hopopt,SV_1
3,ptp,SV_4
3,bbn-rcc-mon,SV_4
5,hmp,SV_4
4,ippc,SV_2
3,ipv6-opts,SV_1
3,wsn,SV_3
1,trunk-1,SV_5
4,wesp,SV_2
5,cbt,SV_1
1,sps,SV_1
5,pup,SV_5
2,dcn-meas,SV_4
1,tlsp,SV_5
5,gmtp,SV_4
1,ipv6,SV_2
1,swipe (deprecated),SV_2
2,aggfrag,SV_4
2,idrp,SV_2
5,vmtp,SV_4
4,tlsp,SV_5
2,argus (deprecated),SV_2
4,xnet,SV_4
1,rvd,SV_5
2,mtp,SV_4
4,pnni,SV_4
1,isis over ipv4,SV_1
3,egp,SV_1
3,any0hopprotocol,SV_3
2,sdrp,SV_4
3,ipcomp,SV_5
3,xns-idp,SV_3
1,sps,SV_5
2,il,SV_2
2,tlsp,SV_2
5,ifmp,SV_4
4,iso-tp4,SV_2
5,qnx,SV_3
5,iptm,SV_2
4,isis over ipv4,SV_4
4,ospfigp,SV_1
1,icmp,SV_3
2,egp,SV_2
1,cftp,SV_2
4,dsr,SV_4
3,ipv6-frag,SV_4
3,crtp,SV_2
5,pnni,SV_2
5,snp,SV_4
3,ifmp,SV_4
2,anyprivencscheme,SV_5
5,hmp,SV_4
5,argus (deprecated),SV_2
3,tcf,SV_4
4,ippc,SV_2
3,chaos,SV_2
5,gmtp,SV_5
2,uti,SV_4
4,i-nlsp,SV_4
2,bna,SV_5
5,hip,SV_4
2,kryptolan,SV_1
2,mpls-in-ip,SV_2
1,emcon,SV_4
4,idpr-cmtp,SV_4
4,bna,SV_2
5,iplt,SV_2
2,pgm,SV_5
5,icmp,SV_5
4,ipip,SV_4
2,anyprivencscheme,SV_2
4,rvd,SV_2
5,qnx,SV_3
3,reserved,SV_1
4,vmtp,SV_3
4,etherip,SV_3
1,leaf-1,SV_2
4,iso-tp4,SV_4
3,esp,SV_4
2,manet,SV_4
5,mfe-nsp,SV_3
4,iplt,SV_5
5,esp,SV_1
1,dccp,SV_5
5,reserved,SV_4
3,ipcomp,SV_5
5,icmp,SV_3
5,tcp,SV_5
3,nsh,SV_2
4,nvp-ii,SV_4
4,sat-mon,SV_5
5,egp,SV_1
4,mtp,SV_1
5,iplt,SV_5
4,qnx,SV_5
1,hip,SV_5
3,wb-expak,SV_4
5,prm,SV_2
1,iatp,SV_3
1,mfe-nsp,SV_4
5,udplite,SV_3
1,isis over ipv4,SV_4
1,aris,SV_4
3,nsfnet-igp,SV_5
1,vmtp,SV_4
5,dccp,SV_3
3,mpls-in-ip,SV_4
2,nvp-ii,SV_3
1,st,SV_4
5,iatp,SV_1
5,vmtp,SV_3
4,gre,SV_1
4,anylocalnetwork,SV_5
4,sps,SV_1
3,tlsp,SV_1
2,wb-mon,SV_4
5,emcon,SV_4
5,hmp,SV_4
